emotion,Abdullah,Aicha,Ali,Ayşe,Fatima,Fatma,Ingrid,Jan,Johan,Johanna,Julia,Maria,Mehmet,Mohammed,Pieter,Rudolf,agent
admiration,2,8,3,3,2,3,5,1,1,3,1,2,3,1,7,2,143
amusement,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
anger,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
annoyance,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
approval,11,14,8,10,11,6,13,10,15,12,10,16,9,14,15,8,256
caring,5,5,6,12,7,11,4,11,8,2,3,4,6,3,7,4,236
confusion,2,2,3,1,0,4,7,8,1,1,5,2,7,2,4,8,7
curiosity,29,19,29,22,29,24,27,20,22,25,27,21,18,27,33,26,266
desire,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
disappointment,0,1,0,0,0,1,0,1,0,2,1,1,0,1,1,2,0
disapproval,1,1,2,2,0,0,0,2,0,0,0,1,0,2,2,1,0
disgust,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fear,1,3,2,5,3,3,2,0,2,1,1,1,3,3,3,1,0
gratitude,11,6,9,11,16,11,12,11,10,12,14,9,11,8,9,14,74
joy,2,3,2,0,0,4,2,0,3,1,1,3,2,2,2,1,31
love,0,2,2,2,0,3,3,0,0,0,0,3,0,1,2,2,9
nervousness,1,1,1,3,1,2,0,0,1,0,0,0,2,1,3,0,0
optimism,0,1,1,1,0,1,1,0,1,0,1,2,1,3,0,1,13
realization,2,1,0,0,1,1,1,2,0,2,2,3,2,0,1,1,0
remorse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sadness,3,5,1,0,1,3,1,2,4,1,2,3,3,4,2,3,1
surprise,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
